As At Month,Visa Type,Occupation,EOI Status,Points,Nominated State,Count EOIs
02/2026,189PTS Points-Tested Stream,133111 Construction Project Manager,CLOSED,95,N/A,<20
02/2026,189PTS Points-Tested Stream,133111 Construction Project Manager,CLOSED,100,N/A,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,SUBMITTED,40,ANY,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,SUBMITTED,40,NSW,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,SUBMITTED,45,ANY,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,SUBMITTED,45,NSW,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,SUBMITTED,45,NT,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,SUBMITTED,45,SA,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,SUBMITTED,45,VIC,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,SUBMITTED,45,WA,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,SUBMITTED,50,ACT,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,SUBMITTED,50,ANY,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,SUBMITTED,50,NSW,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,SUBMITTED,50,NT,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,SUBMITTED,50,QLD,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,SUBMITTED,50,SA,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,SUBMITTED,50,TAS,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,SUBMITTED,50,VIC,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,SUBMITTED,50,WA,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,SUBMITTED,55,ACT,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,SUBMITTED,55,ANY,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,SUBMITTED,55,NSW,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,SUBMITTED,55,NT,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,SUBMITTED,55,QLD,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,SUBMITTED,55,SA,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,SUBMITTED,55,TAS,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,SUBMITTED,55,VIC,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,SUBMITTED,55,WA,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,SUBMITTED,60,ACT,33
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,SUBMITTED,60,ANY,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,SUBMITTED,60,NSW,65
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,SUBMITTED,60,NT,22
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,SUBMITTED,60,QLD,46
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,SUBMITTED,60,SA,59
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,SUBMITTED,60,TAS,22
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,SUBMITTED,60,VIC,49
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,SUBMITTED,60,WA,69
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,SUBMITTED,65,ACT,69
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,SUBMITTED,65,ANY,38
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,SUBMITTED,65,NSW,163
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,SUBMITTED,65,NT,59
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,SUBMITTED,65,QLD,112
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,SUBMITTED,65,SA,149
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,SUBMITTED,65,TAS,52
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,SUBMITTED,65,VIC,116
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,SUBMITTED,65,WA,140
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,SUBMITTED,65,-,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,SUBMITTED,70,ACT,156
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,SUBMITTED,70,ANY,43
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,SUBMITTED,70,NSW,328
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,SUBMITTED,70,NT,95
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,SUBMITTED,70,QLD,241
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,SUBMITTED,70,SA,295
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,SUBMITTED,70,TAS,80
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,SUBMITTED,70,VIC,239
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,SUBMITTED,70,WA,311
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,SUBMITTED,75,ACT,132
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,SUBMITTED,75,ANY,42
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,SUBMITTED,75,NSW,283
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,SUBMITTED,75,NT,74
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,SUBMITTED,75,QLD,237
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,SUBMITTED,75,SA,243
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,SUBMITTED,75,TAS,78
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,SUBMITTED,75,VIC,243
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,SUBMITTED,75,WA,327
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,SUBMITTED,80,ACT,170
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,SUBMITTED,80,ANY,27
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,SUBMITTED,80,NSW,266
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,SUBMITTED,80,NT,96
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,SUBMITTED,80,QLD,243
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,SUBMITTED,80,SA,274
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,SUBMITTED,80,TAS,85
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,SUBMITTED,80,VIC,271
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,SUBMITTED,80,WA,303
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,SUBMITTED,85,ACT,67
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,SUBMITTED,85,ANY,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,SUBMITTED,85,NSW,130
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,SUBMITTED,85,NT,31
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,SUBMITTED,85,QLD,98
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,SUBMITTED,85,SA,105
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,SUBMITTED,85,TAS,31
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,SUBMITTED,85,VIC,127
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,SUBMITTED,85,WA,155
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,SUBMITTED,90,ACT,38
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,SUBMITTED,90,ANY,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,SUBMITTED,90,NSW,81
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,SUBMITTED,90,NT,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,SUBMITTED,90,QLD,60
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,SUBMITTED,90,SA,65
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,SUBMITTED,90,TAS,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,SUBMITTED,90,VIC,76
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,SUBMITTED,90,WA,77
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,SUBMITTED,95,ACT,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,SUBMITTED,95,ANY,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,SUBMITTED,95,NSW,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,SUBMITTED,95,NT,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,SUBMITTED,95,QLD,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,SUBMITTED,95,SA,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,SUBMITTED,95,TAS,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,SUBMITTED,95,VIC,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,SUBMITTED,95,WA,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,SUBMITTED,100,NSW,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,SUBMITTED,100,QLD,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,SUBMITTED,100,SA,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,SUBMITTED,100,VIC,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,SUBMITTED,100,WA,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,SUBMITTED,105,NSW,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,SUBMITTED,105,QLD,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,SUBMITTED,105,SA,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,SUBMITTED,105,VIC,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,SUBMITTED,105,WA,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,LODGED,65,ACT,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,LODGED,65,NSW,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,LODGED,65,QLD,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,LODGED,65,VIC,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,LODGED,70,NSW,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,LODGED,70,QLD,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,LODGED,70,SA,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,LODGED,70,VIC,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,LODGED,70,WA,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,LODGED,75,ANY,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,LODGED,75,NSW,52
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,LODGED,75,NT,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,LODGED,75,QLD,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,LODGED,75,SA,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,LODGED,75,TAS,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,LODGED,75,VIC,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,LODGED,75,WA,20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,LODGED,80,ACT,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,LODGED,80,ANY,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,LODGED,80,NSW,108
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,LODGED,80,QLD,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,LODGED,80,SA,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,LODGED,80,VIC,20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,LODGED,80,WA,22
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,LODGED,85,ANY,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,LODGED,85,NSW,70
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,LODGED,85,NT,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,LODGED,85,QLD,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,LODGED,85,SA,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,LODGED,85,TAS,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,LODGED,85,VIC,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,LODGED,85,WA,21
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,LODGED,90,ACT,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,LODGED,90,ANY,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,LODGED,90,NSW,33
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,LODGED,90,NT,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,LODGED,90,QLD,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,LODGED,90,SA,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,LODGED,90,VIC,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,LODGED,90,WA,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,LODGED,95,NSW,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,LODGED,95,QLD,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,LODGED,95,SA,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,LODGED,95,VIC,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,LODGED,95,WA,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,LODGED,100,VIC,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,INVITED,65,SA,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,INVITED,70,NSW,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,INVITED,70,QLD,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,INVITED,75,ACT,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,INVITED,75,ANY,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,INVITED,75,NSW,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,INVITED,75,NT,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,INVITED,75,QLD,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,INVITED,75,SA,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,INVITED,75,VIC,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,INVITED,75,WA,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,INVITED,80,NSW,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,INVITED,80,QLD,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,INVITED,80,SA,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,INVITED,80,WA,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,INVITED,85,ANY,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,INVITED,85,QLD,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,INVITED,85,SA,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,INVITED,85,WA,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,INVITED,90,NSW,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,INVITED,90,QLD,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,INVITED,90,SA,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,INVITED,90,VIC,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,INVITED,95,ACT,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,INVITED,95,NSW,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,INVITED,95,QLD,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,INVITED,95,SA,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,INVITED,95,VIC,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,INVITED,95,WA,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,HOLD,60,NSW,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,HOLD,60,SA,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,HOLD,60,WA,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,HOLD,65,NSW,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,HOLD,65,SA,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,HOLD,65,VIC,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,HOLD,70,NSW,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,HOLD,70,QLD,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,HOLD,70,SA,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,HOLD,70,VIC,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,HOLD,70,WA,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,HOLD,75,ACT,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,HOLD,75,ANY,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,HOLD,75,NSW,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,HOLD,75,NT,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,HOLD,75,QLD,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,HOLD,75,SA,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,HOLD,75,TAS,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,HOLD,75,VIC,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,HOLD,75,WA,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,HOLD,80,ACT,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,HOLD,80,ANY,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,HOLD,80,NSW,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,HOLD,80,NT,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,HOLD,80,QLD,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,HOLD,80,SA,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,HOLD,80,TAS,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,HOLD,80,VIC,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,HOLD,80,WA,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,HOLD,85,ACT,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,HOLD,85,NSW,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,HOLD,85,QLD,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,HOLD,85,SA,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,HOLD,85,VIC,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,HOLD,85,WA,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,HOLD,90,ACT,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,HOLD,90,NSW,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,HOLD,90,NT,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,HOLD,90,QLD,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,HOLD,90,SA,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,HOLD,90,TAS,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,HOLD,90,VIC,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,HOLD,90,WA,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,HOLD,95,ACT,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,HOLD,95,NSW,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,HOLD,95,SA,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,HOLD,95,VIC,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,HOLD,95,WA,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,HOLD,100,NSW,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,CLOSED,25,-,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,CLOSED,40,ANY,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,CLOSED,40,-,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,CLOSED,45,ACT,<20
02/2026,190SAS Skilled Australian Sponsored,133111 Construction Project Manager,CLOSED,45,ANY,<20
